name,category,description,price,image
Barfi,Sweets,Classic Indian sweet milk squares (1 kg),350,https://images.unsplash.com/photo-1621236894042-4916a445dbe7?w=400&q=80
Soan Papdi,Sweets,Flaky sweet gram flour dessert (250 g),200,https://images.unsplash.com/photo-1519869380628-ba459a1f28bc?w=400&q=80
Balushahi,Sweets,Flaky sweet pastry doughnuts (1 kg),280,https://images.unsplash.com/photo-1557434444-245ed7e793ea?w=400&q=80
Ghewar,Sweets,Traditional Rajasthani disc sweet (1 kg),500,https://images.unsplash.com/photo-1605197175225-b827e693245c?w=400&q=80
Imarti,Sweets,Flower-shaped lentil flour sweet (1 kg),300,https://images.unsplash.com/photo-1582562124811-c09040d0a901?w=400&q=80
Jalebi,Sweets,Crispy deep-fried sweet spirals (1 kg),200,https://images.unsplash.com/photo-1621236894042-4916a445dbe7?w=400&q=80
Chocolate Cake,Cakes,Rich chocolate layer cake (500 g),350,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&q=80
Black Forest,Cakes,Chocolate cherry cream cake (500 g),300,https://images.unsplash.com/photo-1588195538320-064908f57348?w=400&q=80
White Forest,Cakes,Vanilla cherry cream cake (500 g),320,https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=400&q=80
Butterscotch,Cakes,Caramelized butterscotch cream cake (500 g),350,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&q=80
Pineapple,Cakes,Fresh pineapple cream cake (500 g),300,https://images.unsplash.com/photo-1588195538320-064908f57348?w=400&q=80
Vanilla,Cakes,Classic vanilla sponge cake (500 g),250,https://images.unsplash.com/photo-1464349095431-e9a21285b5f3?w=400&q=80
Red Velvet,Cakes,Rich crimson layer cake (500 g),450,https://images.unsplash.com/photo-1616541823729-00fe0aacd32c?w=400&q=80
Fruit Cake,Cakes,Fresh mixed fruit cake (500 g),400,https://images.unsplash.com/photo-1588195538320-064908f57348?w=400&q=80
Truffle Cake,Cakes,Dense chocolate truffle cake (500 g),500,https://images.unsplash.com/photo-1535141192574-5d48937f6104?w=400&q=80
Photo Cake,Cakes,Customizable printed photo cake (500 g),600,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=400&q=80
Bread,Bakery,Freshly baked white bread (400 g),40,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80
Brown Bread,Bakery,Healthy whole wheat bread (400 g),50,https://images.unsplash.com/photo-1599320677561-bd804b4d825c?w=400&q=80
Pav,Bakery,Soft Indian bread rolls (6 pcs),30,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80
Bun,Bakery,Sweet and soft round bun (1 pc),20,https://images.unsplash.com/photo-1599320677561-bd804b4d825c?w=400&q=80
Garlic Bread,Bakery,Buttery toasted garlic bread (150 g),80,https://images.unspllash.com/photo-1573140247632-f8fd74997d5c?w=400&q=80
Toast,Bakery,Crispy baked bread slices (200 g),50,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=400&q=80
Rusk,Bakery,Crunchy twice-baked tea bread (250 g),60,https://images.unsplash.com/photo-1599320677561-bd804b4d825c?w=400&q=80
Cookies,Bakery,Classic buttery baked cookies (250 g),100,https://images.unsplash.com/photo-1589367920969-abce89c259f8?w=400&q=80
Butter Cookies,Bakery,Rich butter flavored cookies (250 g),120,https://images.unsplash.com/photo-1499636136210-6f4ee915583e?w=400&q=80
Jeera Cookies,Bakery,Sweet and salty cumin cookies (250 g),90,https://images.unsplash.com/photo-1589367920969-abce89c259f8?w=400&q=80
Cup Cake,Bakery,Miniature baked sweet cake (1 pc),30,https://images.unsplash.com/photo-1550617931-e17a7b70dce2?w=400&q=80
Muffin,Bakery,Soft and fluffy baked muffin (1 pc),40,https://images.unsplash.com/photo-1607958996333-41aef7caefaa?w=400&q=80
Puff,Bakery,Flaky baked savory pastry (1 pc),20,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400&q=80
Veg Puff,Bakery,Spiced vegetable filled pastry (1 pc),25,https://images.unsplash.com/photo-1601050690597-df0568f70950?w=400&q=80
Coca Cola,Cold Drinks,Chilled classic carbonated cola (500 ml),40,https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=400&q=80
Pepsi,Cold Drinks,Refreshing carbonated cola drink (500 ml),40,https://images.unsplash.com/photo-1622543925917-763c34d1a86e?w=400&q=80
Sprite,Cold Drinks,Crisp lemon lime soda (500 ml),40,https://images.unsplash.com/photo-1625772299849-227fb23907c1?w=400&q=80
Limca,Cold Drinks,Cloudy lemon flavored soda (500 ml),40,https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400&q=80
Fanta,Cold Drinks,Fruity orange carbonated drink (500 ml),40,https://images.unsplash.com/photo-1622543925917-763c34d1a86e?w=400&q=80
Thums Up,Cold Drinks,Strong Indian carbonated cola (500 ml),40,https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=400&q=80
Mountain Dew,Cold Drinks,Citrus flavored refreshing soda (500 ml),40,https://images.unsplash.com/photo-1625772299849-227fb23907c1?w=400&q=80
Slice,Cold Drinks,Sweet mango fruit drink (500 ml),45,https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400&q=80
Maaza,Cold Drinks,Rich and thick mango juice (500 ml),45,https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400&q=80
Frooti,Cold Drinks,Classic mango juice drink (500 ml),45,https://images.unsplash.com/photo-1544145945-f90425340c7e?w=400&q=80
Appy Fizz,Cold Drinks,Sparkling apple juice drink (250 ml),40,https://images.unsplash.com/photo-1622543925917-763c34d1a86e?w=400&q=80
Red Bull,Cold Drinks,Popular canned energy drink (250 ml),120,https://images.unsplash.com/photo-1625772299849-227fb23907c1?w=400&q=80
Sting,Cold Drinks,Sweet red energy drink (250 ml),20,https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=400&q=80
Mineral Water,Cold Drinks,Pure packaged drinking water (1 L),20,https://images.unsplash.com/photo-1523362628745-0c13750d176c?w=400&q=80
Aloo Bhujia,Namkeen,Spicy potato noodle snack (250 g),60,https://images.unsplash.com/photo-1596662951497-6a7e0e7a8e83?w=400&q=80
Mixture,Namkeen,Spicy mixed savory snack (250 g),70,https://images.unsplash.com/photo-1585237894569-8a587d4f9b8c?w=400&q=80
Sev,Namkeen,Crispy chickpea flour noodles (250 g),50,https://images.unsplash.com/photo-1596662951497-6a7e0e7a8e83?w=400&q=80
Ratlami Sev,Namkeen,Spicy thick gram flour noodles (250 g),80,https://images.unsplash.com/photo-1585237894569-8a587d4f9b8c?w=400&q=80
Chana Dal,Namkeen,Crunchy fried split chickpeas (250 g),60,https://images.unsplash.com/photo-1596662951497-6a7e0e7a8e83?w=400&q=80
Moong Dal,Namkeen,Salty fried yellow lentils (250 g),60,https://images.unsplash.com/photo-1585237894569-8a587d4f9b8c?w=400&q=80
Salted Peanuts,Namkeen,Classic roasted salted peanuts (250 g),40,https://images.unsplash.com/photo-1596662951497-6a7e0e7a8e83?w=400&q=80
Masala Peanuts,Namkeen,Spicy coated fried peanuts (250 g),50,https://images.unsplash.com/photo-1585237894569-8a587d4f9b8c?w=400&q=80
Khatta Meetha Mix,Namkeen,Sweet and sour snack mix (250 g),75,https://images.unsplash.com/photo-1596662951497-6a7e0e7a8e83?w=400&q=80
